cover_stego,image_id,path,split,format,w,h,decode_ok,hash
unknown,1,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1.pgm,test,PPM,512,512,True,5d260a6fc1c7ce002d8d3d0db03ac3b1eec98070a154087e9de6b78717748e59
unknown,10,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\10.pgm,train,PPM,512,512,True,63cd09533014105d536390661bb0932b39bd3f4a82a2cf3f95e7c637ed2bc661
unknown,100,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\100.pgm,train,PPM,512,512,True,9e84c35a11cdb5a6cd732adf06838b5af387ad3c440a2a4da5c03dc486dd6a87
unknown,1000,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1000.pgm,val,PPM,512,512,True,6734eb6e1c5caefb6ec5f9f619f4be05801d479ec664fde4b0b7c7d12d496cc4
unknown,10000,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\10000.pgm,train,PPM,512,512,True,1c33f7dbd0b6bc8fa3fbd6ef2aae04b9b1bbc29e636a6e59f4268ef8d693660a
unknown,1001,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1001.pgm,train,PPM,512,512,True,0899034d311e7579c052c25ecc711a25b348ea25d516964a63170668646c0643
unknown,1002,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1002.pgm,train,PPM,512,512,True,6d7d0891ac39919d9c84a59c744c71a5ce33cde4b64ca43b6a2a00a80fe4f055
unknown,1003,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1003.pgm,train,PPM,512,512,True,96ba37f185ecbb6cf10bab7a949bedf3d747837f35e14239c58cc41fa3fe516d
unknown,1004,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1004.pgm,val,PPM,512,512,True,b073ee9392f0924ff7ad14c200bab9f9b2d87223821f738013833730d3bec9cd
unknown,1005,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1005.pgm,train,PPM,512,512,True,c9b3e21404e94e90af024655f3285f6812e2763fe31eb58f51df205eda7de635
unknown,1006,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1006.pgm,test,PPM,512,512,True,fea70ac6b5525513e88b97761f1122ebe356aaf489a2aeb6c5a5c1f9d05dc91d
unknown,1007,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1007.pgm,train,PPM,512,512,True,39ec49a805dab37e1334afba4306dc46b6c9354088458673e5c9810958105439
unknown,1008,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1008.pgm,val,PPM,512,512,True,f68a3c5be16eafdfb64baeedf44c6d04589a712ab46443866564b9dd49766b84
unknown,1009,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1009.pgm,train,PPM,512,512,True,602a3382f4a0e732fdd30c353dc517e50d76743d647abda692dd3e1ab9e72673
unknown,101,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\101.pgm,val,PPM,512,512,True,13d6d76c8b64f6acabd6d27a5f849955a8e785c99c1c1e4ecbe2703ebc1ea0e7
unknown,1010,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1010.pgm,train,PPM,512,512,True,b22ecf1dab1382290f2da08b07fb6382ebeabcc897b6fc41e1f466dc6b54c5ee
unknown,1011,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1011.pgm,train,PPM,512,512,True,2d43bf57070823e1beae764023df5a02c43e67c2044f6df34e8f83781962e04c
unknown,1012,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1012.pgm,test,PPM,512,512,True,b660fead3210912028eb2a4191ac9c763ef531563f99b08704b7123188928d54
unknown,1013,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1013.pgm,train,PPM,512,512,True,aa1e54ce5e802c18f521506964c9b879f55ebc57d6928f86943a6e69aa46d95d
unknown,1014,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1014.pgm,test,PPM,512,512,True,44a1c6f6ef592da572cd9e195f9d276fb6c2272a5b021bef0b4450e2a4090b3d
unknown,1015,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1015.pgm,val,PPM,512,512,True,2529d2f87f425c47a8049cd51106867379a064cacfaba4f9ff2dce0b229f29a7
unknown,1016,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1016.pgm,train,PPM,512,512,True,4a59513855d780bc65e5a266b372737ba27b173628c00b03e552b1d67ce75d50
unknown,1017,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1017.pgm,train,PPM,512,512,True,2b5b93bef659d03e754743a93af1fb859e20e7013405b811336887d34f21be6b
unknown,1018,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1018.pgm,test,PPM,512,512,True,f144546c28e9116430bd0097ac3edf6acb959a66e917868e0b8fa384245a5fe4
unknown,1019,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1019.pgm,train,PPM,512,512,True,ed23a30b0943d2135c65ad4b29330bc0d396301698df9ae531138a455c7991a2
unknown,102,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\102.pgm,train,PPM,512,512,True,340ab87a66172dd467782b1cfdbd9312d73b7ecd8e578c5df2e53f3d902a39f4
unknown,1020,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1020.pgm,train,PPM,512,512,True,4c61fd5f9af20c407577add59a924ea155b264cc58a0e4eb396a4f46efd338b3
unknown,1021,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1021.pgm,train,PPM,512,512,True,3ee7de9a503f10252a287afc8509ec4f2dfc878fd092f3e7b5bd341c4d26923b
unknown,1022,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1022.pgm,train,PPM,512,512,True,136761f594ec0c1ff2a03e262af36c3df2e95b61db30833636b272de27a3b7df
unknown,1023,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1023.pgm,val,PPM,512,512,True,9db4646107fc1b8f4d27ac1dd46e43cea2a6e774dd0403b35d7137d86b63f3d1
unknown,1024,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1024.pgm,test,PPM,512,512,True,2da1a9775e0b4f80d5db8a4a6a0eef7cf0d3a12d99cea317b8118a467c381ae4
unknown,1025,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1025.pgm,test,PPM,512,512,True,18857dd98a18abe7293d7b6f2156882ab74ab3c6578a953a05461bb115751081
unknown,1026,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1026.pgm,train,PPM,512,512,True,cb1640b4846423a9a78bd391be49d27d34598bc5e84eb84416af701207f7908f
unknown,1027,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1027.pgm,val,PPM,512,512,True,6c48b1ffde749b8e1f8e3b32a59107692c0f2f80067a00e0df595368d5c09ec5
unknown,1028,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1028.pgm,train,PPM,512,512,True,3d989d6398a60353d7a30881b85854e3b9f55850e2952fd5631f17464b4d3672
unknown,1029,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1029.pgm,val,PPM,512,512,True,31435c22f3d6a20a866f01f2a8328add0149bb6807c0d7eb81be86c94a684170
unknown,103,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\103.pgm,val,PPM,512,512,True,a622cad3652b55a072be548d34ebc97cbf3681a7ada9969b457c591c4eee1e8a
unknown,1030,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1030.pgm,test,PPM,512,512,True,4cd1b525d1e3f718b3a330a1f80d35e9e269a38e927911445e513a6a695f5467
unknown,1031,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1031.pgm,train,PPM,512,512,True,f948819097675c5c7c23bb44e371266b3e28e20469e1f1fd443265cd42148069
unknown,1032,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1032.pgm,test,PPM,512,512,True,c190cb408fc5d96c2172406335c28a2b0feb3e474c889ba5618a586a6c90f01e
unknown,1033,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1033.pgm,train,PPM,512,512,True,2fe195a9d36e0b149890e75c485c69ba95bacc5ab10643d4a6b3dd2d108e0b84
unknown,1034,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1034.pgm,val,PPM,512,512,True,b5d25081f1c4961d2822ae9215022ba56ae7a57a7bf4934dfa8874883530d109
unknown,1035,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1035.pgm,train,PPM,512,512,True,1188e2b9f5045bc2347fafc8f0600a3c5a258a1b4fc179b4def74d92191badfd
unknown,1036,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1036.pgm,train,PPM,512,512,True,1d937dbc112222ba24be26980ea6adb8fe4447bd50d1cf7b2e76e9e733eb7196
unknown,1037,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1037.pgm,train,PPM,512,512,True,f7eb39daa00883ee3b58012d2507fee36f4e9545fbf38edaa8b5d6d574f1d1b6
unknown,1038,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1038.pgm,test,PPM,512,512,True,f4f60057f8bf42978f909344b7b082de8fb83d95d3b61db5c11629a56feb0455
unknown,1039,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1039.pgm,test,PPM,512,512,True,4d2244f50ee8c08f50de5aa2c36bbb110120d308595152f1eb8413ad6ccc118e
unknown,104,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\104.pgm,test,PPM,512,512,True,74bcff08d119ded1af1795b21a2945c4ae7b3dd0fc1625ac7b5908cc62353a9a
unknown,1040,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1040.pgm,test,PPM,512,512,True,92b720a73a9a55d831369f29d7480da7c7d7c19e6393be3e419fe1fa4fa43f18
unknown,1041,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1041.pgm,train,PPM,512,512,True,6ff2da4c8d6be50a3ce5d17afed052e58c85ec817d0d5223e25b0e7fd8e61199
unknown,1042,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1042.pgm,test,PPM,512,512,True,25c846e00f061e75643a355f9487d8a6ae2bdbc78d24a0dd1cb01c1683ad776d
unknown,1043,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1043.pgm,train,PPM,512,512,True,3123582974cbcfd2e3f19d3aa11b37c7d1739d893c39ea21d20be964405d0ff2
unknown,1044,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1044.pgm,train,PPM,512,512,True,f443d0a37a78c94895d8c81a3fbcb5d4ff48fd2319a4b4d9e85836af1328d762
unknown,1045,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1045.pgm,train,PPM,512,512,True,aa3745ee481d2e20a91547cd0b41d74e9b86904b3d115f980cde9f28ea7034e4
unknown,1046,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1046.pgm,train,PPM,512,512,True,dfc803cd1238eab5a3d41f40aea5692696c8fcb23ac4982960e91af6d147b33c
unknown,1047,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1047.pgm,train,PPM,512,512,True,24850c9bbd83c04a16ea8486357256dce97099c6d4ae8ca61de5a1ed0df524e9
unknown,1048,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1048.pgm,test,PPM,512,512,True,d18f52da0bbdaa79f720b45f90da13f18fe4284ccefc02627a79cbd6055d5d5b
unknown,1049,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\1049.pgm,train,PPM,512,512,True,2981aaef9a23ddef310c60c7ee2f05a6f97913f5a24d93d45bfd245ab0b494f1
unknown,105,C:\Users\hami 4\Desktop\project\BOSSbase_1.01\105.pgm,val,PPM,512,512,True,c65729a7911d8ca77192527511f50ba6822cda5e54c92651b17afad01347ba5c
